"ELEMENT","EXTREME","RANK","STATION","GH_ID","NAME","ELEVATION","DT","VAL"
"Fmax","MAX",1,"0-20000-0-11791","O3MARU01","Hošťálková, Maruška",664.1,"2026/05/09 07:10:00",9.9
"Fmax","MAX",2,"0-203-0-11735","O1PRAD01","Praděd",1490,"2026/05/09 07:40:00",9.8
"Fmax","MAX",3,"0-203-0-11735","O1PRAD01","Praděd",1490,"2026/05/09 07:30:00",9.8
"Fmax","MIN",1,"0-203-0-11626","P3HULI01","Hulice",375,"2026/05/09 08:50:00",0
"Fmax","MIN",2,"0-203-0-11626","P3HULI01","Hulice",375,"2026/05/09 08:40:00",0
"Fmax","MIN",3,"0-203-0-11626","P3HULI01","Hulice",375,"2026/05/09 08:30:00",0
"SRA1H","MAX",1,"0-203-0-11623","H3MOKO01","Mokošín",255,"2026/05/09 07:00:00",0.1
"SRA1H","MAX",2,"0-20000-0-11636","B2KMYS01","Kostelní Myslová",569,"2026/05/09 06:00:00",0.1
"SRA1H","MAX",3,"0-203-0-10201037001","H2LUIS01","Luisino údolí, Deštné v Orlických horách",875,"2026/05/09 06:00:00",0.1
"SRA1H","MIN",1,"0-20000-0-11406","L3CHEB01","Cheb",483,"2026/05/09 09:00:00",0
"SRA1H","MIN",2,"0-20000-0-11414","L3KVAL01","Karlovy Vary, Olšová Vrata",603,"2026/05/09 09:00:00",0
"SRA1H","MIN",3,"0-20000-0-11423","L2PRIM01","Přimda",742.76,"2026/05/09 09:00:00",0
"T","MAX",1,"0-203-0-11755","B1STRZ01","Strážnice",176,"2026/05/09 09:00:00",18.3
"T","MAX",2,"0-203-0-11727","B2LEDN01","Lednice",177,"2026/05/09 08:50:00",17.9
"T","MAX",3,"0-203-0-11755","B1STRZ01","Strážnice",176,"2026/05/09 08:40:00",17.8
"T","MIN",1,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 02:40:00",-4.4
"T","MIN",2,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 03:20:00",-4.3
"T","MIN",3,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 03:40:00",-4.1
"TMA","MAX",1,"0-203-0-11755","B1STRZ01","Strážnice",176,"2026/05/09 09:00:00",18.4
"TMA","MAX",2,"0-203-0-11755","B1STRZ01","Strážnice",176,"2026/05/09 08:50:00",18.2
"TMA","MAX",3,"0-203-0-11727","B2LEDN01","Lednice",177,"2026/05/09 09:00:00",18.1
"TMA","MIN",1,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 03:20:00",-4.1
"TMA","MIN",2,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 02:20:00",-4
"TMA","MIN",3,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 03:10:00",-3.9
"TMI","MAX",1,"0-203-0-11755","B1STRZ01","Strážnice",176,"2026/05/09 08:50:00",17.7
"TMI","MAX",2,"0-203-0-11727","B2LEDN01","Lednice",177,"2026/05/09 09:00:00",17.6
"TMI","MAX",3,"0-203-0-11755","B1STRZ01","Strážnice",176,"2026/05/09 09:00:00",17.5
"TMI","MIN",1,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 03:30:00",-4.5
"TMI","MIN",2,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 03:20:00",-4.4
"TMI","MIN",3,"0-203-0-11494","C1HKVI01","Horská Kvilda",1052,"2026/05/09 02:50:00",-4.4
