"RECORD_DATE","ELEMENT","VTYPE","EXTREME","RANK","STATION","GH_ID","NAME","ELEVATION","VAL"
"2026-05-06","Fmax","00:00","MAX",1,"0-20000-0-11653","H7SNEZ01","Sněžka, Poštovna",1602,25.3
"2026-05-06","Fmax","00:00","MAX",2,"0-20000-0-11787","O1LYSA01","Lysá hora",1322.03,24.9
"2026-05-06","Fmax","00:00","MAX",3,"0-203-0-20303032003","O1JAVR01","Třinec, Oldřichovice, Javorový ",930,20.5
"2026-05-06","Fmax","00:00","MIN",1,"0-203-0-11486","L1NEPO01","Nepomuk",471,5.7
"2026-05-06","Fmax","00:00","MIN",2,"0-203-0-11453","L1HOJS01","Hojsova Stráž",866,5.9
"2026-05-06","Fmax","00:00","MIN",3,"0-203-0-11510","P1KRAL01","Kralupy nad Vltavou",220,6
"2026-05-05","SRA","06:00","MAX",1,"0-203-0-11101031001","L2ROKY01","Rokycany",397,42
"2026-05-05","SRA","06:00","MAX",2,"0-203-0-11005051001","L1NEZV01","Nezvěstice",371,29.9
"2026-05-05","SRA","06:00","MAX",3,"0-203-0-11303017001","U1MAST01","Mašťov",373,28.3
"2026-05-05","SRA","06:00","MIN",1,"0-20000-0-11457","C1CHUR01","Churáňov",1117.8,0
"2026-05-05","SRA","06:00","MIN",2,"0-20000-0-11652","H3PARD01","Pardubice, letiště",224.21,0
"2026-05-05","SRA","06:00","MIN",3,"0-20000-0-11693","B2DUKO01","Dukovany",400.15,0
"2026-05-06","T","AVG","MAX",1,"0-203-0-11795","O1KARV01","Karviná",224,20.9
"2026-05-06","T","AVG","MAX",2,"0-203-0-20301053301","O1FMSV01","Frýdek-Místek, Sviadnov",270,20.8
"2026-05-06","T","AVG","MAX",3,"0-203-0-20101156002","O1OZBH01","Ostrava, Zábřeh",238,20.6
"2026-05-06","T","AVG","MIN",1,"0-20000-0-11653","H7SNEZ01","Sněžka, Poštovna",1602,6
"2026-05-06","T","AVG","MIN",2,"0-203-0-11633","H1LUCB01","Luční bouda",1413,7.4
"2026-05-06","T","AVG","MIN",3,"0-203-0-11640","H1LBOU01","Labská bouda",1320,8.2
"2026-05-06","TMA","20:00","MAX",1,"0-203-0-11696","B2DYJA01","Dyjákovice",187,26.8
"2026-05-06","TMA","20:00","MAX",2,"0-203-0-11795","O1KARV01","Karviná",224,26.1
"2026-05-06","TMA","20:00","MAX",3,"0-203-0-11729","B2BROD01","Brod nad Dyjí",177,25.8
"2026-05-06","TMA","20:00","MIN",1,"0-20000-0-11653","H7SNEZ01","Sněžka, Poštovna",1602,9.9
"2026-05-06","TMA","20:00","MIN",2,"0-203-0-11633","H1LUCB01","Luční bouda",1413,11
"2026-05-06","TMA","20:00","MIN",3,"0-203-0-11420","L3KLIN01","Klínovec",1236,11.4
"2026-05-06","TMI","20:00","MAX",1,"0-203-0-20301053301","O1FMSV01","Frýdek-Místek, Sviadnov",270,14.7
"2026-05-06","TMI","20:00","MAX",2,"0-203-0-20401014001","O1CHLN01","Chuchelná",258,14.3
"2026-05-06","TMI","20:00","MAX",3,"0-203-0-11748","O3PRER01","Přerov",210,14.2
"2026-05-06","TMI","20:00","MIN",1,"0-20000-0-11653","H7SNEZ01","Sněžka, Poštovna",1602,4.1
"2026-05-06","TMI","20:00","MIN",2,"0-203-0-11633","H1LUCB01","Luční bouda",1413,5
"2026-05-06","TMI","20:00","MIN",3,"0-203-0-11735","O1PRAD01","Praděd",1490,5
