"run_datetime_local","source","element","value_datetime_utc","bin_no","bin_left","bin_right","count"
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",1,0,0.8800000000000001,42
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",2,0.8800000000000001,1.7600000000000002,91
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",3,1.7600000000000002,2.6400000000000006,50
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",4,2.6400000000000006,3.5200000000000005,14
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",5,3.5200000000000005,4.4,7
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",6,4.4,5.280000000000001,0
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",7,5.280000000000001,6.160000000000001,2
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",8,6.160000000000001,7.040000000000001,0
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",9,7.040000000000001,7.920000000000001,1
"2026-06-25 08:55:15 CEST","NOW","Fmax","2026-06-25 06:00:00 UTC",10,7.920000000000001,8.8,1
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",1,0,0,431
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",2,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",3,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",4,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",5,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",6,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",7,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",8,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",9,0,0,0
"2026-06-25 08:55:15 CEST","NOW","SRA1H","2026-06-25 06:00:00 UTC",10,0,0,0
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",1,6.8,8.65,1
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",2,8.65,10.5,0
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",3,10.5,12.350000000000001,1
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",4,12.350000000000001,14.2,2
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",5,14.2,16.05,8
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",6,16.05,17.900000000000002,20
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",7,17.900000000000002,19.75,37
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",8,19.75,21.6,93
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",9,21.6,23.450000000000003,104
"2026-06-25 08:55:15 CEST","NOW","T","2026-06-25 06:00:00 UTC",10,23.450000000000003,25.3,26
