"run_datetime_local","source","element","value_date","bin_no","bin_left","bin_right","count"
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",1,6.5,8.629999999999999,32
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",2,8.629999999999999,10.76,89
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",3,10.76,12.89,58
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",4,12.89,15.02,19
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",5,15.02,17.15,3
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",6,17.15,19.28,2
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",7,19.28,21.41,0
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",8,21.41,23.54,1
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",9,23.54,25.669999999999998,0
"2026-05-14 07:00:08 CEST","RECENT","Fmax","2026-05-13",10,25.669999999999998,27.8,1
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",1,0,1.1800000000000002,305
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",2,1.1800000000000002,2.3600000000000003,76
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",3,2.3600000000000003,3.5400000000000005,40
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",4,3.5400000000000005,4.720000000000001,13
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",5,4.720000000000001,5.9,2
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",6,5.9,7.080000000000001,4
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",7,7.080000000000001,8.260000000000002,3
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",8,8.260000000000002,9.440000000000001,1
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",9,9.440000000000001,10.620000000000001,2
"2026-05-14 07:00:08 CEST","RECENT","SRA","2026-05-12",10,10.620000000000001,11.8,2
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",1,-1.4,0.010000000000000009,4
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",2,0.010000000000000009,1.42,4
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",3,1.42,2.8299999999999996,4
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",4,2.8299999999999996,4.24,22
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",5,4.24,5.65,24
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",6,5.65,7.059999999999999,37
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",7,7.059999999999999,8.469999999999999,51
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",8,8.469999999999999,9.879999999999999,87
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",9,9.879999999999999,11.29,43
"2026-05-14 07:00:08 CEST","RECENT","T","2026-05-13",10,11.29,12.7,4
