"STATION","YEAR","MONTH","TIME","ELEMENT","BIN","COUNT","AVG"
"11406",2025,1,"00:00","F","0-<1",4,0.65
"11406",2025,1,"00:00","F","1-<2",4,1.5
"11406",2025,1,"00:00","F","2-<3",7,2.557
"11406",2025,1,"00:00","F","3-<4",11,3.473
"11406",2025,1,"00:00","F","4-<5",5,4.38
"11406",2025,1,"00:10","F","0-<1",4,0.575
"11406",2025,1,"00:10","F","1-<2",4,1.55
"11406",2025,1,"00:10","F","2-<3",4,2.5
"11406",2025,1,"00:10","F","3-<4",13,3.338
"11406",2025,1,"00:10","F","4-<5",4,4.6
"11406",2025,1,"00:10","F","5-<6",2,5.3
"11406",2025,1,"00:20","F","0-<1",4,0.625
"11406",2025,1,"00:20","F","1-<2",3,1.367
"11406",2025,1,"00:20","F","2-<3",12,2.6
"11406",2025,1,"00:20","F","3-<4",7,3.4
"11406",2025,1,"00:20","F","4-<5",4,4.275
"11406",2025,1,"00:20","F","5-<6",1,5.8
"11406",2025,1,"00:30","F","0-<1",5,0.62
"11406",2025,1,"00:30","F","1-<2",3,1.6
"11406",2025,1,"00:30","F","2-<3",11,2.645
"11406",2025,1,"00:30","F","3-<4",7,3.4
"11406",2025,1,"00:30","F","4-<5",3,4.3
"11406",2025,1,"00:30","F","5-<6",1,5
"11406",2025,1,"00:30","F","6-<7",1,6.2
"11406",2025,1,"00:40","F","0-<1",5,0.64
"11406",2025,1,"00:40","F","1-<2",4,1.525
"11406",2025,1,"00:40","F","2-<3",9,2.367
"11406",2025,1,"00:40","F","3-<4",8,3.462
"11406",2025,1,"00:40","F","4-<5",3,4.2
"11406",2025,1,"00:40","F","5-<6",2,5.4
"11406",2025,1,"00:50","F","0-<1",5,0.7
"11406",2025,1,"00:50","F","1-<2",7,1.514
"11406",2025,1,"00:50","F","2-<3",9,2.478
"11406",2025,1,"00:50","F","3-<4",5,3.38
"11406",2025,1,"00:50","F","4-<5",4,4.4
"11406",2025,1,"00:50","F","5-<6",1,5.6
"11406",2025,1,"01:00","F","0-<1",5,0.44
"11406",2025,1,"01:00","F","1-<2",5,1.5
"11406",2025,1,"01:00","F","2-<3",11,2.355
"11406",2025,1,"01:00","F","3-<4",6,3.5
"11406",2025,1,"01:00","F","4-<5",2,4.45
"11406",2025,1,"01:00","F","5-<6",2,5.65
"11406",2025,1,"01:10","F","0-<1",4,0.375
"11406",2025,1,"01:10","F","1-<2",5,1.52
"11406",2025,1,"01:10","F","2-<3",12,2.442
"11406",2025,1,"01:10","F","3-<4",7,3.429
"11406",2025,1,"01:10","F","5-<6",1,5.3
"11406",2025,1,"01:10","F","6-<7",2,6.25
"11406",2025,1,"01:20","F","0-<1",5,0.48
"11406",2025,1,"01:20","F","1-<2",5,1.7
"11406",2025,1,"01:20","F","2-<3",8,2.425
"11406",2025,1,"01:20","F","3-<4",9,3.356
"11406",2025,1,"01:20","F","4-<5",3,4.6
"11406",2025,1,"01:20","F","6-<7",1,6
"11406",2025,1,"01:30","F","0-<1",4,0.65
"11406",2025,1,"01:30","F","1-<2",6,1.5
"11406",2025,1,"01:30","F","2-<3",7,2.529
"11406",2025,1,"01:30","F","3-<4",8,3.312
"11406",2025,1,"01:30","F","4-<5",3,4.233
"11406",2025,1,"01:30","F","5-<6",2,5.15
"11406",2025,1,"01:30","F","6-<7",1,6.1
"11406",2025,1,"01:40","F","0-<1",5,0.6
"11406",2025,1,"01:40","F","1-<2",5,1.76
"11406",2025,1,"01:40","F","2-<3",8,2.525
"11406",2025,1,"01:40","F","3-<4",8,3.5
"11406",2025,1,"01:40","F","4-<5",4,4.55
"11406",2025,1,"01:40","F","5-<6",1,5.6
"11406",2025,1,"01:50","F","0-<1",5,0.64
"11406",2025,1,"01:50","F","1-<2",3,1.5
"11406",2025,1,"01:50","F","2-<3",7,2.386
"11406",2025,1,"01:50","F","3-<4",10,3.3
"11406",2025,1,"01:50","F","4-<5",4,4.4
"11406",2025,1,"01:50","F","5-<6",2,5.55
